parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,idx0,idx1,idx2,inst,j,pname,pstyle,ptype,usecol,zone
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:34_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,34,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:37_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,37,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:40_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,40,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:43_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,43,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:46_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,46,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:49_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,49,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:52_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,52,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:55_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,55,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:58_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,58,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:61_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,61,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:64_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,64,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:67_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,67,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:70_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,70,p,m,pp,,1
